customer_id,age,time_spent,pages_viewed,basket_value,num_sessions,purchase,device_type_Desktop,device_type_Mobile,device_type_Tablet,device_type_Unknown,customer_type_New,customer_type_Returning,category_Electronics,category_Fashion,category_Home Goods
1,0.7450980392156864,0.4091321047861551,0.5357142857142857,0.07823236711160256,0.8333333333333333,1,False,True,False,False,False,True,False,True,False
2,1.0,0.06594449959000474,0.6785714285714285,0.027380670299870995,0.5555555555555555,0,True,False,False,False,False,True,True,False,False
3,0.5490196078431373,0.23710672823788356,0.9999999999999999,0.013650843798541453,0.16666666666666666,0,False,True,False,False,False,True,True,False,False
4,0.27450980392156865,0.027059686677312157,0.17857142857142855,0.047560750862227844,0.4444444444444444,1,False,True,False,False,False,True,False,False,True
5,0.823529411764706,0.14449095852574337,0.8928571428571428,0.03106652976331517,0.7777777777777777,1,False,True,False,False,False,True,False,True,False
6,0.13725490196078433,0.48845539683224726,0.35714285714285715,0.07441486981017824,0.611111111111111,0,True,False,False,False,True,False,False,True,False
7,0.3921568627450981,0.01389668119632299,0.8214285714285714,0.35737040254850855,0.8333333333333333,1,True,False,False,False,False,True,False,True,False
8,0.7450980392156864,0.0010789348754909154,0.9999999999999999,0.09009293631361398,0.16666666666666666,1,False,False,True,False,True,False,False,False,True
9,0.3529411764705882,0.08596953087911614,0.5,0.0,0.1111111111111111,1,False,True,False,False,True,False,True,False,False
10,0.43137254901960786,0.01260195934573389,0.6785714285714285,0.11082589579548745,0.16666666666666666,1,False,False,True,False,False,True,True,False,False
11,0.1960784313725491,0.17867161538129558,0.3214285714285714,0.06791196061395888,0.05555555555555555,0,False,False,True,False,False,True,False,True,False
12,0.1960784313725491,0.3184584178498986,0.9999999999999999,0.2030776926519759,1.0,1,True,False,False,False,True,False,False,False,True
13,0.4509803921568628,0.07371283069353933,0.9642857142857143,0.0,0.33333333333333326,1,False,False,True,False,False,True,True,False,False
14,0.6862745098039217,0.03875534072763368,0.0,0.21375352131216596,0.05555555555555555,1,False,True,False,False,True,False,False,False,True
15,0.7647058823529412,0.07379914548357862,0.6785714285714285,0.036305715714925094,0.0,1,False,True,False,False,False,True,False,True,False
16,0.4509803921568628,0.1664149151957188,0.35714285714285715,0.014519653529210436,0.9444444444444444,1,False,True,False,False,False,True,True,False,False
17,0.03921568627450983,0.0011652496655301886,0.8928571428571428,0.20359108022009847,0.38888888888888884,1,True,False,False,False,False,True,False,False,True
18,0.4117647058823529,0.1152734020974494,0.8928571428571428,0.09323908064133955,0.38888888888888884,1,True,False,False,False,False,True,True,False,False
19,0.019607843137254943,0.12299857580596435,0.39285714285714285,0.23157728457467813,0.5,1,True,False,False,False,True,False,False,True,False
20,0.4509803921568628,0.13145742522981313,0.4642857142857143,0.29253876734328516,0.9444444444444444,1,False,True,False,False,False,True,False,False,True
21,0.8431372549019608,0.03586379526131803,0.8571428571428571,0.005805228654924572,0.5555555555555555,0,False,True,False,False,True,False,False,True,False
22,0.5686274509803921,0.16209917569375512,0.25,0.07320380170076086,0.0,1,False,True,False,False,True,False,False,True,False
23,0.7254901960784313,0.012429329765655344,0.35714285714285715,0.049495827080536035,0.33333333333333326,0,True,False,False,False,False,True,True,False,False
24,0.019607843137254943,0.08596953087911614,0.5,0.0,0.38888888888888884,0,False,False,False,True,True,False,True,False,False
25,0.3921568627450981,0.27180527383367137,0.9642857142857143,0.1661664428823421,0.7222222222222221,1,False,False,True,False,False,True,False,False,True
26,0.6274509803921569,0.17379482974407667,0.2142857142857143,0.03468657030776927,1.0,1,False,True,False,False,False,True,False,True,False
27,0.21568627450980393,0.0018126105908247377,0.3214285714285714,0.085696232525077,0.38888888888888884,0,False,True,False,False,True,False,True,False,False
28,0.4117647058823529,0.03698588753182858,0.6428571428571428,0.12990021851881106,1.0,1,False,False,True,False,False,True,True,False,False
29,0.8431372549019608,0.03124595399421691,0.8571428571428571,0.015204170286707213,0.16666666666666666,0,False,True,False,False,False,True,False,True,False
30,0.47058823529411764,0.08596953087911614,0.5,0.0,0.5,1,False,False,False,True,True,False,False,False,True
31,0.9411764705882354,0.03681325795175003,0.10714285714285714,0.09810968064660507,0.5,0,False,True,False,False,False,True,False,False,True
32,0.5098039215686275,0.008372534633809502,0.03571428571428571,0.314509122502172,0.16666666666666666,1,False,True,False,False,True,False,True,False,False
33,0.8039215686274509,0.07953907902119028,0.8928571428571428,0.043677434641813444,0.38888888888888884,0,False,False,True,False,False,True,False,True,False
34,0.5294117647058824,0.08596953087911614,0.7142857142857143,0.0,0.33333333333333326,0,True,False,False,False,False,True,False,False,True
35,0.2941176470588236,0.12084070605498252,0.6071428571428571,0.0743753784587842,0.7777777777777777,1,False,True,False,False,False,True,False,True,False
36,0.27450980392156865,0.14466358810582194,0.4642857142857143,0.009451596766974699,0.38888888888888884,0,True,False,False,False,True,False,False,True,False
37,0.9019607843137255,0.0109619783349877,0.8928571428571428,0.36762499012716215,0.5,0,False,True,False,False,True,False,False,True,False
38,0.9803921568627451,0.3917828319882612,0.5357142857142857,0.004159755680172709,0.33333333333333326,1,True,False,False,False,False,True,False,True,False
39,0.8431372549019608,0.2360709507574123,0.75,0.14747386988916095,1.0,1,False,False,True,False,False,True,False,False,True
40,1.0,0.21173017996633725,0.35714285714285715,0.07841666008477477,0.1111111111111111,0,False,False,True,False,False,True,True,False,False
41,0.03921568627450983,0.22420266712701223,0.3214285714285714,0.048429560592896825,0.4444444444444444,1,False,True,False,False,False,True,False,False,True
42,0.7058823529411765,0.349402270078978,0.5714285714285714,0.007174262169918122,0.8333333333333333,0,False,True,False,False,False,True,False,True,False
43,0.9803921568627451,0.1017219800612835,0.4642857142857143,0.10249322065134403,0.7222222222222221,1,False,True,False,False,False,True,True,False,False
44,0.11764705882352944,0.028915454663156533,0.75,0.09267303793802492,0.33333333333333326,0,True,False,False,False,True,False,False,False,True
45,0.3921568627450981,0.12416382547149454,0.10714285714285714,0.03472606165916331,0.611111111111111,1,True,False,False,False,False,True,False,False,True
46,0.1568627450980392,0.1758663847050192,0.6428571428571428,0.25383724297712135,0.0,1,False,True,False,False,True,False,True,False,False
47,0.7450980392156864,0.1733632557938803,0.03571428571428571,0.038188136798041235,0.8333333333333333,0,False,False,True,False,True,False,False,True,False
48,0.33333333333333337,0.09542100038841655,0.2142857142857143,0.06290972277071322,0.1111111111111111,1,False,True,False,False,False,True,False,False,True
49,0.05882352941176472,0.009192525139182598,0.2857142857142857,0.08264223468393755,0.0,0,False,True,False,False,True,False,False,True,False
50,0.47058823529411764,0.06003193647231453,0.9642857142857143,0.01112339730932259,0.2777777777777778,0,False,True,False,False,False,True,True,False,False
51,0.2549019607843137,0.3282551465193561,0.6428571428571428,0.28335044625227074,0.05555555555555555,1,False,True,False,False,True,False,True,False,False
52,0.9607843137254902,0.11367657848172284,0.5357142857142857,0.04941684437774794,0.33333333333333326,0,False,True,False,False,True,False,True,False,False
53,0.1568627450980392,0.10008199905053732,0.75,0.008872390279862044,0.38888888888888884,1,True,False,False,False,False,True,True,False,False
54,0.4901960784313726,0.04052479392343878,0.8571428571428571,0.05158886870442039,0.6666666666666666,0,False,True,False,False,False,True,True,False,False
55,0.019607843137254943,0.05951404773207889,0.5357142857142857,0.09654319037464129,0.8333333333333333,1,False,True,False,False,False,True,False,True,False
56,0.37254901960784315,0.2922187216779595,0.6071428571428571,0.07591554116315194,0.5,1,True,False,False,False,False,True,True,False,False
57,0.5294117647058824,0.142160459194683,0.7857142857142857,0.12489798067556539,0.16666666666666666,0,False,True,False,False,True,False,True,False,False
58,0.9019607843137255,0.20046609986621208,0.7142857142857143,0.00601584919569281,0.6666666666666666,1,True,False,False,False,False,True,False,True,False
59,0.11764705882352944,0.07841698675067973,0.7142857142857143,0.03526577679488192,0.8888888888888888,0,False,True,False,False,True,False,False,True,False
60,0.8431372549019608,0.1288248241336153,0.35714285714285715,0.18013321749203592,0.38888888888888884,1,True,False,False,False,False,True,False,True,False
61,0.13725490196078433,0.03698588753182858,0.2142857142857143,0.008767080009477925,0.38888888888888884,0,False,False,True,False,False,True,True,False,False
62,0.9019607843137255,0.15825816753700747,0.2857142857142857,0.2037095542742806,0.33333333333333326,1,False,True,False,False,False,True,False,False,True
63,0.6666666666666666,0.07224547926287168,0.10714285714285714,0.01014927730826949,0.0,0,True,False,False,False,False,True,False,True,False
64,0.2549019607843137,0.07565491346942299,0.8571428571428571,0.1894005212858384,0.7777777777777777,0,False,False,True,False,True,False,True,False,False
65,0.3137254901960784,0.13568684994173752,0.42857142857142855,0.047126345996893346,0.7777777777777777,1,True,False,False,False,False,True,True,False,False
66,0.6862745098039217,0.08596953087911614,0.5,0.0,1.0,1,False,False,False,True,True,False,False,True,False
67,0.9607843137254902,0.008545164213888049,0.8928571428571428,0.017468341099965774,0.16666666666666666,0,False,True,False,False,True,False,False,False,True
68,0.7647058823529412,0.2254973889776013,0.8571428571428571,0.007213753521312167,0.2777777777777778,0,True,False,False,False,False,True,False,True,False
69,0.05882352941176472,0.04479737603038281,0.9999999999999999,0.025616723270937,0.5,1,False,False,True,False,True,False,False,False,True
70,0.019607843137254943,0.07600017262958007,0.10714285714285714,0.014401179475028301,0.611111111111111,0,False,True,False,False,True,False,False,True,False
71,0.09803921568627455,0.0028483880712960167,0.6428571428571428,0.03943869625885264,0.16666666666666666,0,False,True,False,False,False,True,False,True,False
72,0.8039215686274509,0.04639419964610936,0.03571428571428571,0.07607350656872812,0.2777777777777778,0,False,True,False,False,False,True,False,True,False
73,0.05882352941176472,0.09041474256613871,0.2857142857142857,0.09358133902008794,0.7222222222222221,1,False,True,False,False,True,False,False,True,False
74,0.5490196078431373,0.0074662293383971345,0.39285714285714285,0.16428402179922597,0.6666666666666666,1,False,True,False,False,False,True,False,False,True
